chromosome	part_name	sample	reads_us	reads_ds	reads_strength
0x58v50	PU-pBAD1-pTet2	tube_8	194.007740927	5504.9696488	5310.96190787
0x58v50	PU-pBAD1-pTet2	tube_1	13.4544337905	4.63945992775	-8.81497386275
0x58v50	PU-pBAD1-pTet2	tube_3	34.861147508	3041.35030678	3006.48915927
0x58v50	PU-pBAD1-pTet2	tube_2	7.70062350056	80.6815325855	72.9809090849
0x58v50	PU-pBAD1-pTet2	tube_5	32.7622646699	1993.71264553	1960.95038086
0x58v50	PU-pBAD1-pTet2	tube_4	85.1990329676	2419.80363961	2334.60460664
0x58v50	PU-pBAD1-pTet2	tube_7	0.0	4676.4737809	4676.4737809
0x58v50	PU-pBAD1-pTet2	tube_6	17.6124284729	938.835134598	921.222706125
0x58v50	PU-pBAD1-pTet2	flask_8	82.325667265	15353.4803645	15271.1546972
0x58v50	PU-pBAD1-pTet2	flask_7	64.6744676928	10101.9017314	10037.2272637
0x58v50	PU-pBAD1-pTet2	flask_6	43.2106089402	6908.36705263	6865.15644369
0x58v50	PU-pBAD1-pTet2	flask_5	53.9736843956	4894.73850363	4840.76481923
0x58v50	PU-pBAD1-pTet2	flask_4	45.6771429352	4572.82918192	4527.15203898
0x58v50	PU-pBAD1-pTet2	flask_3	49.0204922994	2784.79649636	2735.77600406
0x58v50	PU-pBAD1-pTet2	flask_2	31.053138605	17.1246024836	-13.9285361214
0x58v50	PU-pBAD1-pTet2	flask_1	17.4401994008	6.95168787305	-10.4885115278
0x58v50	PU-pBAD2	tube_8	189.965912991	165.714945375	-24.250967616
0x58v50	PU-pBAD2	tube_1	2.31972996388	14.8462717688	12.5265418049
0x58v50	PU-pBAD2	tube_3	127.824207529	39.8738615288	-87.9503460002
0x58v50	PU-pBAD2	tube_2	0.0	9.97580771664	9.97580771664
0x58v50	PU-pBAD2	tube_5	56.689761339	247.005388691	190.315627352
0x58v50	PU-pBAD2	tube_4	147.558216033	34.6375331847	-112.920682848
0x58v50	PU-pBAD2	tube_7	129.441076973	182.545108552	53.104031579
0x58v50	PU-pBAD2	tube_6	23.9158239264	118.652149712	94.7363257856
0x58v50	PU-pBAD2	flask_8	346.236978177	1852.87732869	1506.64035051
0x58v50	PU-pBAD2	flask_7	185.983759305	1318.68023768	1132.69647837
0x58v50	PU-pBAD2	flask_6	146.832166302	966.62453009	819.792363788
0x58v50	PU-pBAD2	flask_5	123.970806346	1182.36102379	1058.39021744
0x58v50	PU-pBAD2	flask_4	94.3280581969	42.4654688226	-51.8625893743
0x58v50	PU-pBAD2	flask_3	108.313661294	35.3235900393	-72.9900712547
0x58v50	PU-pBAD2	flask_2	5.76081097373	3.63010006564	-2.13071090809
0x58v50	PU-pBAD2	flask_1	1.5854726728	7.19560674579	5.61013407299
0x58v50	PU-pBM3R1-pAmtR	tube_8	0.0	0.0	0.0
0x58v50	PU-pBM3R1-pAmtR	tube_1	0.0	1433.59311768	1433.59311768
0x58v50	PU-pBM3R1-pAmtR	tube_3	0.683551911922	213.951748432	213.26819652
0x58v50	PU-pBM3R1-pAmtR	tube_2	0.0	188.315247423	188.315247423
0x58v50	PU-pBM3R1-pAmtR	tube_5	0.0	945.688291428	945.688291428
0x58v50	PU-pBM3R1-pAmtR	tube_4	0.0	186.438265866	186.438265866
0x58v50	PU-pBM3R1-pAmtR	tube_7	0.0	0.0	0.0
0x58v50	PU-pBM3R1-pAmtR	tube_6	1.85393983925	105.674570837	103.820630998
0x58v50	PU-pBM3R1-pAmtR	flask_8	57.3274014259	50.9495447455	-6.3778566804
0x58v50	PU-pBM3R1-pAmtR	flask_7	50.2031088997	72.7141114668	22.5110025671
0x58v50	PU-pBM3R1-pAmtR	flask_6	23.7152456833	91.6035296322	67.8882839489
0x58v50	PU-pBM3R1-pAmtR	flask_5	41.1127674107	1628.48725887	1587.37449146
0x58v50	PU-pBM3R1-pAmtR	flask_4	0.0	197.934286052	197.934286052
0x58v50	PU-pBM3R1-pAmtR	flask_3	0.0	222.214216931	222.214216931
0x58v50	PU-pBM3R1-pAmtR	flask_2	0.394576094091	134.471532866	134.076956772
0x58v50	PU-pBM3R1-pAmtR	flask_1	0.0	2431.99312064	2431.99312064
0x58v50	PU-pPhlF	tube_8	0.0	2728.23385678	2728.23385678
0x58v50	PU-pPhlF	tube_1	1.39183797833	102.300091407	100.908253429
0x58v50	PU-pPhlF	tube_3	0.0	11487.7734318	11487.7734318
0x58v50	PU-pPhlF	tube_2	1.0500850228	46.0287268329	44.9786418101
0x58v50	PU-pPhlF	tube_5	0.0	11365.1928025	11365.1928025
0x58v50	PU-pPhlF	tube_4	0.0	13476.2088422	13476.2088422
0x58v50	PU-pPhlF	tube_7	0.0	2233.68832828	2233.68832828
0x58v50	PU-pPhlF	tube_6	0.0	617.547360455	617.547360455
0x58v50	PU-pPhlF	flask_8	0.0	17868.0419966	17868.0419966
0x58v50	PU-pPhlF	flask_7	0.0	29307.0027786	29307.0027786
0x58v50	PU-pPhlF	flask_6	0.222099075078	10424.0473451	10423.825246
0x58v50	PU-pPhlF	flask_5	0.0	19912.705352	19912.705352
0x58v50	PU-pPhlF	flask_4	0.0	20098.0618424	20098.0618424
0x58v50	PU-pPhlF	flask_3	0.0	15818.1198865	15818.1198865
0x58v50	PU-pPhlF	flask_2	1.45993154814	54.2147553282	52.7548237801
0x58v50	PU-pPhlF	flask_1	1.82939154554	96.4699141681	94.6405226226
0x58v50	PU-pSrpR-pLitR	tube_8	0.0	695.194404988	695.194404988
0x58v50	PU-pSrpR-pLitR	tube_1	3.47959494581	631.198523171	627.718928225
0x58v50	PU-pSrpR-pLitR	tube_3	5.92411656999	130.786265814	124.862149244
0x58v50	PU-pSrpR-pLitR	tube_2	1.40011336374	485.139280536	483.739167172
0x58v50	PU-pSrpR-pLitR	tube_5	11.4115753345	48.9593393382	37.5477640037
0x58v50	PU-pSrpR-pLitR	tube_4	2.67336665519	152.96306601	150.289699355
0x58v50	PU-pSrpR-pLitR	tube_7	0.0	843.026501311	843.026501311
0x58v50	PU-pSrpR-pLitR	tube_6	2.96630374281	647.951973819	644.985670076
0x58v50	PU-pSrpR-pLitR	flask_8	1.90602613436	586.909431989	585.003405855
0x58v50	PU-pSrpR-pLitR	flask_7	7.32500877184	387.689488656	380.364479884
0x58v50	PU-pSrpR-pLitR	flask_6	3.75100660132	233.697582332	229.946575731
0x58v50	PU-pSrpR-pLitR	flask_5	15.6017681456	132.193359828	116.591591682
0x58v50	PU-pSrpR-pLitR	flask_4	2.73587054039	225.411942349	222.676071809
0x58v50	PU-pSrpR-pLitR	flask_3	0.0	197.523748383	197.523748383
0x58v50	PU-pSrpR-pLitR	flask_2	2.80149026805	767.923994321	765.122504053
0x58v50	PU-pSrpR-pLitR	flask_1	28.4165486741	681.875208741	653.458660067
0x58v50	PU-pTac-pTet1	tube_8	0.0	1511.64364806	1511.64364806
0x58v50	PU-pTac-pTet1	tube_1	0.0	6.49524389885	6.49524389885
0x58v50	PU-pTac-pTet1	tube_3	0.0	571.905099641	571.905099641
0x58v50	PU-pTac-pTet1	tube_2	0.0	153.312413329	153.312413329
0x58v50	PU-pTac-pTet1	tube_5	0.0	3.6811533337	3.6811533337
0x58v50	PU-pTac-pTet1	tube_4	0.0	862.335096299	862.335096299
0x58v50	PU-pTac-pTet1	tube_7	0.0	1072.03763749	1072.03763749
0x58v50	PU-pTac-pTet1	tube_6	0.0	204.304170286	204.304170286
0x58v50	PU-pTac-pTet1	flask_8	0.0	570.414975057	570.414975057
0x58v50	PU-pTac-pTet1	flask_7	0.0	214.56915939	214.56915939
0x58v50	PU-pTac-pTet1	flask_6	0.0	89.1851174813	89.1851174813
0x58v50	PU-pTac-pTet1	flask_5	0.0	6.74671054945	6.74671054945
0x58v50	PU-pTac-pTet1	flask_4	0.0	1024.40509104	1024.40509104
0x58v50	PU-pTac-pTet1	flask_3	0.0	521.743842672	521.743842672
0x58v50	PU-pTac-pTet1	flask_2	0.0	239.152570629	239.152570629
0x58v50	PU-pTac-pTet1	flask_1	0.0	0.0	0.0
