locus_id	gene_name	log2(FC)	log2(CPM)	p_value	fdr
ECDH10B_2116	yodA	-8.5082571194955	9.02166894993312	3.97195113388698e-41	1.7325650846015e-37
SYNTHETIC_YFP	YFP	7.69622909877658	13.9772719108839	9.02768359427296e-37	1.96893779191093e-33
ECDH10B_3291	tdcB	-11.7925180787811	6.36114884318709	1.40591937646689e-32	2.04420677338286e-29
ECDH10B_4349	frdA	-5.1982578880732	9.21157267806981	2.06880883760367e-30	2.2560360374068e-27
ECDH10B_3726	yhjX	-7.18437532254286	8.96350662701019	3.62867006797304e-30	3.16565176729968e-27
ECDH10B_2400	glpA	-4.62109717850531	7.64050204831674	5.11607444783422e-25	3.71938612357548e-22
ECDH10B_0964	dmsA	-6.1634543502018	6.60818245410118	1.23412904250293e-24	7.69038697628254e-22
ECDH10B_2897	hypD	-5.53816499938319	6.01460018717364	3.20611609959424e-23	1.74813480330376e-20
ECDH10B_2402	glpC	-4.3918323059485	7.18857119527324	2.36117074515611e-22	1.14438075448566e-19
ECDH10B_1371	ompW	-7.07098043513413	5.9776740835387	1.19283461682586e-21	5.20314459859439e-19
ECDH10B_4332	aspA	-4.33761446993761	9.15771569895091	1.62112985941429e-21	6.42851676978649e-19
ECDH10B_2506	yfcZ	-4.53076930069635	6.16559086785426	3.57655058361921e-20	1.30007613714558e-17
ECDH10B_3541	nirB	-5.5167358902061	7.05978595433825	1.24029030199915e-19	4.16165099793867e-17
ECDH10B_0905	bssR	-5.36132195156571	5.97333695859763	1.37195013305481e-19	4.2746046288465e-17
SYNTHETIC_LitR	LitR	6.66985180928899	13.4715005461586	1.63437559791211e-18	4.7527642387284e-16
ECDH10B_0974	focA	-4.43131522056774	6.95617136629571	3.30444496324461e-18	9.00874308104563e-16
ECDH10B_2401	glpB	-3.96630736152083	7.07907157386415	3.96109681844386e-18	1.01637084247365e-15
ECDH10B_2842	nrdE	6.75649424304127	6.19937069331093	4.7390925312273e-18	1.13456918819272e-15
ECDH10B_1998	znuA	-4.87804539551878	8.11580855278117	4.94195657397102e-18	1.13456918819272e-15
ECDH10B_3132	ansB	-3.96099454806874	7.69929689944376	2.46719830573167e-17	5.38095950480078e-15
ECDH10B_4131	katG	-3.54358065024181	8.0802051050033	3.3996640600139e-17	7.06158791894315e-15
ECDH10B_4346	frdD	-5.39004260520103	7.02980605352209	3.56238423836935e-16	7.06323638534868e-14
ECDH10B_0285	rpmE2	-7.23066059879529	5.29926276586107	5.84751995724737e-16	1.10899487189187e-13
ECDH10B_0284	rpmJ	-11.5055712195604	4.41859685878442	3.19442886661909e-15	5.8058744650802e-13
ECDH10B_4118	rraA	-4.09652334462185	7.1115133313045	8.52186884151775e-15	1.48689567546802e-12
ECDH10B_0973	pflB	-3.24221024395291	11.0097503426675	5.12288921474088e-14	8.59463182873066e-12
ECDH10B_0965	dmsB	-11.1717865452322	4.08939427857575	5.5474225609618e-14	8.96216933737607e-12
ECDH10B_4523	fhuF	5.26236253111435	8.07034364905672	7.76549257460674e-14	1.20975280751552e-11
ECDH10B_0799	cydA	-3.00629688375071	9.17361644196736	1.19538151669402e-13	1.798018681317e-11
ECDH10B_3650	nikA	-5.16456919302237	5.26174490749923	2.16353806787176e-13	3.14578435068554e-11
ECDH10B_1415	puuD	11.1923625587071	4.68582262983479	2.86417628421998e-13	4.0301732102476e-11
ECDH10B_0873	fiu	5.50944569273778	6.68698199525303	3.10227330591594e-13	4.22878630012666e-11
ECDH10B_3289	tdcD	-6.90363405417443	5.18151361509384	3.74411878198778e-13	4.94904428091839e-11
ECDH10B_4331	dcuA	-2.93527359059138	7.9385184456738	1.65992045996488e-12	2.12958030775494e-10
ECDH10B_1895	ynjE	-4.31070013177825	6.06510000390496	2.2091765688295e-12	2.75326519806694e-10
ECDH10B_1414	puuA	5.04378578795734	7.20768978256693	5.47858512685752e-12	6.63821897870903e-10
