gene_name	length
AmtR	669
LitR	606
BM3R1	579
SrpR	642
PhlF	603
YFP	720
AraC	879
LacI	1083
TetR	624
KanR	816
thrL_locusTag_ECDH10B_0001	66
thrA_locusTag_ECDH10B_0002	2463
thrB_locusTag_ECDH10B_0003	933
thrC_locusTag_ECDH10B_0004	1287
yaaX_locusTag_ECDH10B_0005	297
yaaA_locusTag_ECDH10B_0006	777
yaaJ_locusTag_ECDH10B_0007	1431
talB_locusTag_ECDH10B_0008	954
mogA_locusTag_ECDH10B_0009	588
yaaH_locusTag_ECDH10B_0010	567
yaaW_locusTag_ECDH10B_0011	714
htgA_locusTag_ECDH10B_0012	486
yaaI_locusTag_ECDH10B_0013	405
dnaK_locusTag_ECDH10B_0014	1917
dnaJ_locusTag_ECDH10B_0015	1131
insL-1_locusTag_ECDH10B_0016	1113
mokC_locusTag_ECDH10B_0017	210
hokC_locusTag_ECDH10B_0018	153
sokC_locusTag_ECDH10B_0019	55
nhaA_locusTag_ECDH10B_0020	1167
nhaR_locusTag_ECDH10B_0021	906
insB-1_locusTag_ECDH10B_0022	504
insA-1_locusTag_ECDH10B_0023	276
rpsT_locusTag_ECDH10B_0024	264
yaaY_locusTag_ECDH10B_0025	219
ribF_locusTag_ECDH10B_0026	942
ileS_locusTag_ECDH10B_0027	2817
lspA_locusTag_ECDH10B_0028	495
fkpB_locusTag_ECDH10B_0029	450
ispH_locusTag_ECDH10B_0030	951
rihC_locusTag_ECDH10B_0031	915
dapB_locusTag_ECDH10B_0032	822
carA_locusTag_ECDH10B_0033	1149
carB_locusTag_ECDH10B_0034	3222
caiF_locusTag_ECDH10B_0035	396
caiE_locusTag_ECDH10B_0036	591
caiD_locusTag_ECDH10B_0037	786
caiC_locusTag_ECDH10B_0038	1569
caiB_locusTag_ECDH10B_0039	1218
caiA_locusTag_ECDH10B_0040	1143
caiT_locusTag_ECDH10B_0041	1515
fixA_locusTag_ECDH10B_0042	771
fixB_locusTag_ECDH10B_0043	942
