gene	length
KOXM_19977	363
KOXM_14585	1287
KOXM_19972	1650
KOXM_24787	1530
KOXM_24947	693
KOXM_27155	771
KOXM_27930	1179
KOXM_20417	729
KOXM_11904	564
KOXM_12299	398
KOXM_28150	192
KOXM_25582	414
KOXM_28620	231
KOXM_28155	1455
KOXM_16183	267
KOXM_21531	507
KOXM_26965	732
KOXM_16178	300
KOXM_26215	1428
KOXM_09274	561
KOXM_14545	2502
KOXM_16173	1923
KOXM_13466	528
KOXM_28390	483
KOXM_01916	768
KOXM_01911	987
KOXM_09179	510
KOXM_22226	1260
KOXM_28395	777
KOXM_13985	384
KOXM_13980	369
KOXM_12104	174
KOXM_26720	1134
KOXM_12454	576
KOXM_09674	870
KOXM_28020	195
KOXM_12109	426
KOXM_25947	222
KOXM_16753	552
KOXM_03467	1167
KOXM_13503	264
KOXM_18409	1287
KOXM_23092	801
KOXM_19802	528
KOXM_12851	816
KOXM_29285	1269
KOXM_16758	753
KOXM_26985	1338
KOXM_23497	510
KOXM_12856	1413
KOXM_12194	153
KOXM_09854	906
KOXM_20592	519
KOXM_20597	168
KOXM_24162	918
KOXM_07563	966
KOXM_03462	903
KOXM_20202	1038
KOXM_07458	741
KOXM_10869	1332
KOXM_02813	1380
KOXM_16358	858
KOXM_28025	192
KOXM_21331	1647
KOXM_13186	723
KOXM_13181	561
KOXM_02818	651
KOXM_04721	912
KOXM_04092	1521
KOXM_04097	339
KOXM_04726	432
KOXM_22535	714
KOXM_13216	696
KOXM_13211	402
KOXM_17759	462
KOXM_22206	465
KOXM_29705	525
KOXM_27910	441
KOXM_10864	750
KOXM_10744	474
KOXM_29585	402
KOXM_04941	768
KOXM_10749	126
KOXM_24272	990
KOXM_04946	897
KOXM_18530	648
KOXM_06768	690
KOXM_13431	3147
KOXM_16133	369
KOXM_06763	1290
KOXM_12921	702
KOXM_29635	771
KOXM_14800	360
KOXM_17538	831
KOXM_24172	870
KOXM_00882	1332
KOXM_07363	801
KOXM_29850	894
KOXM_23432	552
KOXM_00887	238
KOXM_07368	1149
KOXM_04891	657
KOXM_17533	1392
KOXM_04896	459
KOXM_24122	510
KOXM_07163	879
KOXM_16593	783
KOXM_04546	138
KOXM_04541	1275
KOXM_22765	423
KOXM_25432	630
KOXM_10639	921
KOXM_21751	240
KOXM_10049	1689
KOXM_00396	696
KOXM_28625	519
KOXM_10984	723
KOXM_17463	774
KOXM_10294	873
KOXM_07388	1608
KOXM_00696	447
KOXM_r06489	116
KOXM_17243	360
KOXM_11589	624
KOXM_19597	864
KOXM_00862	636
KOXM_00691	678
KOXM_11584	2250
KOXM_00867	819
KOXM_25612	1125
KOXM_10569	816
KOXM_19752	459
KOXM_13728	810
KOXM_16673	6099
KOXM_19757	330
KOXM_07318	453
KOXM_23877	1341
KOXM_13723	858
KOXM_06496	1119
KOXM_06491	1455
KOXM_18625	555
KOXM_11909	807
KOXM_25077	1788
KOXM_12294	648
KOXM_17013	714
KOXM_03447	258
KOXM_21536	582
KOXM_27740	396
KOXM_03442	954
KOXM_07707	738
KOXM_12624	339
KOXM_07702	501
KOXM_20552	447
KOXM_17303	1371
KOXM_03288	1389
KOXM_20572	1071
KOXM_25502	393
KOXM_03283	96
KOXM_20577	453
KOXM_17403	813
KOXM_10369	327
KOXM_03667	627
KOXM_01354	945
KOXM_23582	942
KOXM_03662	1281
KOXM_04431	1371
KOXM_24672	2043
KOXM_01359	423
KOXM_05847	885
KOXM_25207	1245
KOXM_29125	699
KOXM_05842	717
KOXM_t15176	76
KOXM_19227	1215
KOXM_23392	1425
KOXM_01234	993
KOXM_29305	1341
KOXM_23472	438
KOXM_10164	1476
KOXM_23902	1629
KOXM_27825	1170
KOXM_06383	795
KOXM_21056	717
KOXM_10384	402
KOXM_16073	1398
KOXM_06388	1239
KOXM_18755	1323
KOXM_17764	387
KOXM_03063	531
KOXM_06541	1635
KOXM_06012	1029
KOXM_29520	1203
KOXM_06546	492
KOXM_06017	963
KOXM_20951	219
KOXM_26075	588
KOXM_07013	330
KOXM_03068	1341
KOXM_27875	1500
KOXM_09634	642
KOXM_00531	408
KOXM_10389	180
KOXM_02622	768
KOXM_29615	1965
KOXM_00536	441
KOXM_06948	2634
KOXM_23292	381
KOXM_21841	624
KOXM_03712	897
KOXM_06943	729
KOXM_09639	1179
KOXM_03717	1065
KOXM_24797	747
KOXM_t22877	77
KOXM_20956	2283
KOXM_16968	672
KOXM_19372	252
KOXM_20801	1284
KOXM_20806	1089
KOXM_16868	726
KOXM_01284	534
KOXM_27105	66
KOXM_11824	786
KOXM_20247	381
KOXM_11494	2106
KOXM_14535	546
KOXM_05442	852
KOXM_18860	876
KOXM_01289	1161
KOXM_14530	1323
