gene	length
intA_locusTag_b2622	1242
rdlD_locusTag_b4454	66
uspB_locusTag_b3494	336
yhhJ_locusTag_b3485	1125
mdtQ_locusTag_b2139	1436
paaX_locusTag_b1399	951
cobC_locusTag_b0638	612
ssnA_locusTag_b2879	1329
rpmJ_locusTag_b3299	117
uidA_locusTag_b1617	1812
yeaW_locusTag_b1802	1125
gpmM_locusTag_b3612	1545
fieF_locusTag_b3915	903
ybaB_locusTag_b0471	330
flgE_locusTag_b1076	1209
yfgD_locusTag_b2495	360
ygcW_locusTag_b2774	786
ykfF_locusTag_b0249	240
yafP_locusTag_b0234	453
waaU_locusTag_b3623	1074
thrS_locusTag_b1719	1929
xdhB_locusTag_b2867	879
ygcE_locusTag_b2776	1479
yhhN_locusTag_b3468	627
lolC_locusTag_b1116	1200
yedI_locusTag_b1958	918
rbn_locusTag_b2268	918
ftsW_locusTag_b0089	1245
pykA_locusTag_b1854	1443
ycjT_locusTag_b1316	2268
mrr_locusTag_b4351	915
dnaJ_locusTag_b0015	1131
insJ_locusTag_b3557	522
xdhA_locusTag_b2866	2259
mngR_locusTag_b0730	723
uhpT_locusTag_b3666	1392
napG_locusTag_b2205	696
bcsC_locusTag_b3530	3474
ypfN_locusTag_b4547	201
lsrB_locusTag_b1516	1023
atoA_locusTag_b2222	651
yifN_locusTag_b3777	449
malI_locusTag_b1620	1029
waaY_locusTag_b3625	699
trmJ_locusTag_b2532	741
yhbJ_locusTag_b3205	855
yejE_locusTag_b2179	1026
yfiP_locusTag_b2583	699
bdcR_locusTag_b4251	594
gspE_locusTag_b3326	1482
dxr_locusTag_b0173	1197
uxaC_locusTag_b3092	1413
yhcG_locusTag_b3220	1128
wcaN_locusTag_b2042	894
glk_locusTag_b2388	966
rpsJ_locusTag_b3321	312
mepA_locusTag_b2328	825
gsiB_locusTag_b0830	1539
yrhA_locusTag_b3443_1	381
dadA_locusTag_b1189	1299
wcaF_locusTag_b2054	549
murR_locusTag_b2427	858
yraN_locusTag_b3148	396
hmp_locusTag_b2552	1191
paaH_locusTag_b1395	1428
feoA_locusTag_b3408	228
trmH_locusTag_b3651	690
rdgC_locusTag_b0393	912
yigF_locusTag_b3817	381
ecpA_locusTag_b0293	588
tehA_locusTag_b1429	993
ytjA_locusTag_b4568	162
yeaE_locusTag_b1781	855
ttcA_locusTag_b1344	936
cybB_locusTag_b1418	531
yfgJ_locusTag_b2510	216
ygdI_locusTag_b2809	228
agrB_locusTag_b4713	84
yjiS_locusTag_b4341	165
rpsD_locusTag_b3296	621
yidK_locusTag_b3679	1716
sucA_locusTag_b0726	2802
leuX_locusTag_b4270	85
yjhI_locusTag_b4299	789
yebZ_locusTag_b1840	873
ybgL_locusTag_b0713	735
ydhK_locusTag_b1645	2013
scpB_locusTag_b2919	786
glmZ_locusTag_b4456	207
fimG_locusTag_b4319	504
mobA_locusTag_b3857	585
yjhE_locusTag_b4282	249
yehS_locusTag_b2124	471
yafZ_locusTag_b0252	822
ptrA_locusTag_b2821	2889
ssuE_locusTag_b0937	576
ratA_locusTag_b2619	477
fldB_locusTag_b2895	522
dusB_locusTag_b3260	966
yidH_locusTag_b3676	348
tabA_locusTag_b4252	453
insE1_locusTag_b2088	300
sseA_locusTag_b2521	846
rpmI_locusTag_b1717	198
sibE_locusTag_b4611	142
rcsB_locusTag_b2217	651
ilvM_locusTag_b3769	264
dacA_locusTag_b0632	1212
ycgR_locusTag_b1194	735
ryjA_locusTag_b4459	140
ynjF_locusTag_b1758	621
evgS_locusTag_b2370	3594
hscA_locusTag_b2526	1851
astB_locusTag_b1745	1344
yjfF_locusTag_b4231	996
recD_locusTag_b2819	1827
fliM_locusTag_b1945	1005
