SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS	ISOFORM_NAME	IS_PRIMARY
NC_000913.2	190	255	+	b0001	thrL	 	thr	190	255	190	255	1	190	255	 	Y
NC_000913.2	337	2799	+	b0002	thrA	 	fused	337	2799	337	2799	1	337	2799	 	Y
NC_000913.2	2801	3733	+	b0003	thrB	 	homoserine	2801	3733	2801	3733	1	2801	3733	 	Y
NC_000913.2	3734	5020	+	b0004	thrC	 	threonine	3734	5020	3734	5020	1	3734	5020	 	Y
NC_000913.2	5234	5530	+	b0005	yaaX	 	predicted	5234	5530	5234	5530	1	5234	5530	 	Y
NC_000913.2	5683	6459	-	b0006	yaaA	 	conserved	5683	6459	5683	6459	1	5683	6459	 	Y
NC_000913.2	6529	7959	-	b0007	yaaJ	 	predicted	6529	7959	6529	7959	1	6529	7959	 	Y
NC_000913.2	8238	9191	+	b0008	talB	 	transaldolase	8238	9191	8238	9191	1	8238	9191	 	Y
NC_000913.2	9306	9893	+	b0009	mog	 	molybdochelatase	9306	9893	9306	9893	1	9306	9893	 	Y
NC_000913.2	9928	10494	-	b0010	yaaH	 	inner	9928	10494	9928	10494	1	9928	10494	 	Y
NC_000913.2	10643	11356	-	b0011	yaaW	 	conserved	10643	11356	10643	11356	1	10643	11356	 	Y
NC_000913.2	11382	11786	-	b0013	yaaI	 	conserved	11382	11786	11382	11786	1	11382	11786	 	Y
NC_000913.2	12163	14079	+	b0014	dnaK	 	chaperone	12163	14079	12163	14079	1	12163	14079	 	Y
NC_000913.2	14168	15298	+	b0015	dnaJ	 	chaperone	14168	15298	14168	15298	1	14168	15298	 	Y
NC_000913.2	15445	16557	+	b0016	insL	 	IS186	15445	16557	15445	16557	1	15445	16557	 	Y
NC_000913.2	16751	16960	-	b0018	mokC	 	regulatory	16751	16960	16751	16960	1	16751	16960	 	Y
NC_000913.2	16751	16903	-	b4412	hokC	 	toxic	16751	16903	16751	16903	1	16751	16903	 	Y
NC_000913.2	17489	18655	+	b0019	nhaA	 	sodium-proton	17489	18655	17489	18655	1	17489	18655	 	Y
NC_000913.2	18715	19620	+	b0020	nhaR	 	DNA-binding	18715	19620	18715	19620	1	18715	19620	 	Y
NC_000913.2	19811	20314	-	b0021	insB	 	IS1	19811	20314	19811	20314	1	19811	20314	 	Y
NC_000913.2	20233	20508	-	b0022	insA	 	IS1	20233	20508	20233	20508	1	20233	20508	 	Y
NC_000913.2	20815	21078	-	b0023	rpsT	 	30S	20815	21078	20815	21078	1	20815	21078	 	Y
NC_000913.2	21181	21399	+	b0024	yaaY	 	predicted	21181	21399	21181	21399	1	21181	21399	 	Y
