chromosome	part_name	sample	reads_us	reads_ds	t_e	t_s	max_term
pBBG_MB	T4	N16	30399.6	24031.5333333	0.790521366509	1.26498794639	N
pBBG_MB	T4	N14	738.666666667	604.0	0.817689530686	1.2229580574	N
pBBG_MB	T6_1	N16	9806.4	7393.33333333	0.753929406646	1.32638412985	N
pBBG_MB	T6_1	N14	248.2	166.866666667	0.672307279076	1.48741510188	N
pBBG_MB	T6_2	N16	10427.2666667	3518.53333333	0.337435825304	2.96352646936	N
pBBG_MB	T6_2	N14	363.333333333	95.7333333333	0.263486238532	3.79526462396	N
pBBG_MB	Twt	N16	9567.26666667	9695.53333333	1.01340682466	0.986770540386	N
pBBG_MB	Twt	N14	192.466666667	202.8	1.05368895047	0.949046679816	N
pBBR_OR	T4	N13	58.2	47.0	0.807560137457	1.23829787234	N
pBBR_OR	T4	N15	13650.9333333	13678.3333333	1.00200718876	0.997996831973	N
pBBR_OR	T6_1	N13	86.0	71.4666666667	0.831007751938	1.20335820896	N
pBBR_OR	T6_1	N15	8797.26666667	4468.6	0.507953227897	1.96868519596	N
pBBR_OR	T6_2	N13	28.2	30.3333333333	1.0756501182	0.92967032967	N
pBBR_OR	T6_2	N15	8518.06666667	5076.86666667	0.596011614529	1.67781965254	N
pBBR_OR	Twt	N13	15.5333333333	0.0	0.0643776824034	15.5333333333	Y
pBBR_OR	Twt	N15	5099.33333333	1460.2	0.286351157014	3.49221567822	N
pBBRnif60percent_with_par	T4	N17	704.933333333	735.533333333	1.04340836013	0.958397534669	N
pBBRnif60percent_with_par	T6_1	N17	1003.93333333	582.733333333	0.580450229099	1.7228005949	N
pBBRnif60percent_with_par	T6_2	N17	948.8	852.933333333	0.898960089938	1.11239643583	N
pBBRnif60percent_with_par	T7	N17	2064.86666667	378.2	0.183159526039	5.45972148775	N
pBBRnif60percent_with_par	Twt	N17	692.6	63.5333333333	0.0917316392338	10.9013641133	N
