gene	length
seqA_locusTag_ECDH10B_0752	546
hyfH_locusTag_ECDH10B_2654	546
ygaF_locusTag_ECDH10B_2827	1269
ppk_locusTag_ECDH10B_2667	2067
yniC_locusTag_ECDH10B_1865	669
ybbM_locusTag_ECDH10B_0448	780
add_locusTag_ECDH10B_1756	1002
manX_locusTag_ECDH10B_1955	972
yeaJ_locusTag_ECDH10B_1924	1491
alkA_locusTag_ECDH10B_2218	849
proS_locusTag_ECDH10B_0175	1719
phoE_locusTag_ECDH10B_0223	1056
fmt_locusTag_ECDH10B_3462	948
pitB_locusTag_ECDH10B_3164	1500
yfbT_locusTag_ECDH10B_2455	651
ybhS_locusTag_ECDH10B_0861	1134
yeiN_locusTag_ECDH10B_2322	939
ybcY_locusTag_ECDH10B_0628	655
ypeA_locusTag_ECDH10B_2599	426
essD_locusTag_ECDH10B_0619	216
dnaE_locusTag_ECDH10B_0164	3483
yafU_locusTag_ECDH10B_0199	357
fabR_locusTag_ECDH10B_4152	648
ynjE_locusTag_ECDH10B_1895	1308
yjgF_locusTag_ECDH10B_4438	387
emrD_locusTag_ECDH10B_3856	1185
cysW_locusTag_ECDH10B_2588	876
ihfA_locusTag_ECDH10B_1848	300
yrdB_locusTag_ECDH10B_3455	258
torY_locusTag_ECDH10B_2014	1101
xdhA_locusTag_ECDH10B_3041	2259
dmsD_locusTag_ECDH10B_1724	615
frlA_locusTag_ECDH10B_3546	1338
mokB_locusTag_ECDH10B_1547	168
mngR_locusTag_ECDH10B_0796	723
yafD_locusTag_ECDH10B_0190	801
yfbM_locusTag_ECDH10B_2434	504
phnN_locusTag_ECDH10B_4285	558
folD_locusTag_ECDH10B_0485	867
thyA_locusTag_ECDH10B_2997	795
astC_locusTag_ECDH10B_1886	1221
rplJ_locusTag_ECDH10B_4173	498
adhE_locusTag_ECDH10B_1302	2676
atpG_locusTag_ECDH10B_3920	864
rsgA_locusTag_ECDH10B_4356	1053
rbbA_locusTag_ECDH10B_3661	2736
parE_locusTag_ECDH10B_3204	1893
fliS_locusTag_ECDH10B_2066	411
ycbZ_locusTag_ECDH10B_1025	1761
recD_locusTag_ECDH10B_2989	1827
ybeD_locusTag_ECDH10B_0592	264
sfmD_locusTag_ECDH10B_0488	2604
pnp_locusTag_ECDH10B_3337	2205
glpK_locusTag_ECDH10B_4115	1509
yejB_locusTag_ECDH10B_2336	1095
ygeM_locusTag_ECDH10B_3030	432
dinI_locusTag_ECDH10B_1132	246
fadI_locusTag_ECDH10B_2505	1311
sppA_locusTag_ECDH10B_1904	1857
hyi_locusTag_ECDH10B_0464	777
ycjY_locusTag_ECDH10B_1447	933
ydjJ_locusTag_ECDH10B_1912	1044
rutE_locusTag_ECDH10B_1080	591
ybdO_locusTag_ECDH10B_0564	903
borD_locusTag_ECDH10B_0515	294
ycbC_locusTag_ECDH10B_0990	780
rspB_locusTag_ECDH10B_1713	1020
bisC_locusTag_ECDH10B_3730	2280
gph_locusTag_ECDH10B_3560	759
ccmB_locusTag_ECDH10B_2357	663
dsbA_locusTag_ECDH10B_4049	627
rpmG_locusTag_ECDH10B_3818	168
fepG_locusTag_ECDH10B_0657	993
nfrB_locusTag_ECDH10B_0527	2238
fecD_locusTag_ECDH10B_4486	957
yjhR_locusTag_ECDH10B_4511	1241
flxA_locusTag_ECDH10B_1698	333
ydbD_locusTag_ECDH10B_1533	2307
trpB_locusTag_ECDH10B_1376	1194
yehC_locusTag_ECDH10B_2263	720
fruR_locusTag_ECDH10B_0062	758
azoR_locusTag_ECDH10B_1538	606
flgJ_locusTag_ECDH10B_1152	942
nikE_locusTag_ECDH10B_3654	807
wcaF_locusTag_ECDH10B_2204	549
yegK_locusTag_ECDH10B_2222	762
srlR_locusTag_ECDH10B_2875	774
yjgH_locusTag_ECDH10B_4442	396
gltB_locusTag_ECDH10B_3387	4554
yehE_locusTag_ECDH10B_2265	282
fhlA_locusTag_ECDH10B_2899	2079
rem_locusTag_ECDH10B_1693	252
folK_locusTag_ECDH10B_0122	480
yfjY_locusTag_ECDH10B_2811	483
hyfD_locusTag_ECDH10B_2650	1440
artM_locusTag_ECDH10B_0931	669
ybaQ_locusTag_ECDH10B_0440	342
purD_locusTag_ECDH10B_4194	1290
glpT_locusTag_ECDH10B_2399	1359
asnV_locusTag_ECDH10B_2133	76
dxr_locusTag_ECDH10B_0153	1197
clcB_locusTag_ECDH10B_1725	1257
groES_locusTag_ECDH10B_4335	294
yqeC_locusTag_ECDH10B_3051	771
ispG_locusTag_ECDH10B_2681	1119
gltI_locusTag_ECDH10B_0724	909
rpoE_locusTag_ECDH10B_2741	576
mmuP_locusTag_ECDH10B_0246	1404
pgpB_locusTag_ECDH10B_1395	765
rhlE_locusTag_ECDH10B_0865	1365
ykgE_locusTag_ECDH10B_0294	720
yzgL_locusTag_ECDH10B_3601	282
puuA_locusTag_ECDH10B_1414	1419
tdcF_locusTag_ECDH10B_3287	390
ycaD_locusTag_ECDH10B_0968	1149
yeeS_locusTag_ECDH10B_2148	447
yahC_locusTag_ECDH10B_0304	498
zraS_locusTag_ECDH10B_4192	1398
glnE_locusTag_ECDH10B_3228	2841
