gene	length
AZC_1509	702
AZC_1462	942
AZC_3193	945
AZC_3752	1815
AZC_1463	402
AZC_1501	708
AZC_1500	1335
AZC_1503	750
AZC_1502	900
AZC_1505	612
AZC_1504	3534
AZC_1507	1923
AZC_3687	516
abrB	219
AZC_0368	531
AZC_0369	558
AZC_0366	1716
AZC_0367	543
AZC_0364	231
AZC_0365	1158
AZC_0362	627
AZC_0360	1770
AZC_0361	978
AZC_0698	957
AZC_0699	3477
AZC_0696	846
AZC_0697	912
AZC_0694	636
AZC_0695	996
AZC_0692	645
AZC_0693	3429
AZC_0691	1137
AZC_1185	1089
AZC_1184	2103
AZC_1187	1224
AZC_1186	918
AZC_1181	978
AZC_1183	1689
AZC_1182	1278
AZC_1189	819
AZC_1188	1374
AZC_4379	786
AZC_1469	726
AZC_1479	549
AZC_1765	357
AZC_1764	621
AZC_3507	678
AZC_1761	750
AZC_1760	1125
AZC_1763	816
AZC_1762	696
AZC_1169	567
AZC_1168	528
AZC_1163	1248
AZC_1162	1104
AZC_1161	690
AZC_1160	675
AZC_1167	567
AZC_1166	2118
AZC_1165	1572
AZC_1164	366
AZC_0964	303
AZC_1660	1461
AZC_0966	1191
AZC_0967	525
AZC_0960	423
AZC_0961	396
AZC_0962	537
AZC_0963	1569
AZC_3506	261
AZC_0968	963
AZC_0969	606
AZC_4274	441
AZC_4275	762
AZC_4276	369
AZC_4277	798
AZC_4270	369
AZC_4271	114
AZC_4272	1065
AZC_4273	1014
AZC_1664	501
AZC_4458	501
AZC_4278	891
AZC_1665	2145
AZC_2665	1197
AZC_2664	1074
AZC_2667	3201
AZC_2666	2130
AZC_2661	1011
AZC_1666	2559
AZC_2663	951
AZC_2662	993
AZC_2849	624
tolR	453
tolQ	846
AZC_1667	366
AZC_2669	915
AZC_2062	1449
AZC_2061	741
AZC_2060	261
AZC_2066	1254
AZC_2065	1182
xseA	1614
mogA	522
tolA	1026
cheW	483
fecR	957
AZC_2999	1233
AZC_2996	1887
AZC_2995	1527
AZC_2994	921
AZC_2993	894
