gene_name	length
nifM	801
nifS	1203
nifU	825
nifV	1143
nifW	258
nifZ	447
nifB	1407
nifD	1452
nifE	1374
nifF	531
nifH	882
nifJ	3504
nifK	1563
nifN	1386
nifQ	504
nifY	663
parA	657
parB	843
parC	291
parD	249
parE	309
T7RNAP	2653
BN877_I0001_locusTag_BN877_I0001	822
BN877_I0002_locusTag_BN877_I0002	600
aroE1_locusTag_BN877_I0003	861
coaE_locusTag_BN877_I0004	609
coaE_locusTag_BN877_I0005	291
dnaQ_locusTag_BN877_I0006	699
secB_locusTag_BN877_I0007	483
BN877_I0008_locusTag_BN877_I0008	537
BN877_I0009_locusTag_BN877_I0009	699
BN877_I0010_locusTag_BN877_I0010	1113
BN877_I0011_locusTag_BN877_I0011	570
BN877_I0012_locusTag_BN877_I0012	366
gyrB1_locusTag_BN877_I0013	2436
BN877_I0014_locusTag_BN877_I0014	603
BN877_I0015_locusTag_BN877_I0015	843
BN877_I0016_locusTag_BN877_I0016	1233
BN877_I0017_locusTag_BN877_I0017	768
trpF_locusTag_BN877_I0018	663
trpB_locusTag_BN877_I0019	1254
trpA_locusTag_BN877_I0020	852
accD_locusTag_BN877_I0021	897
BN877_I0022_locusTag_BN877_I0022	1344
trxA_locusTag_BN877_I0023	321
BN877_I0024_locusTag_BN877_I0024	3558
BN877_I0025_locusTag_BN877_I0025	3186
BN877_I0026_locusTag_BN877_I0026	738
BN877_I0027_locusTag_BN877_I0027	1512
BN877_I0028_locusTag_BN877_I0028	2646
BN877_I0029_locusTag_BN877_I0029	234
ahcY_locusTag_BN877_I0030	1401
ptsH_locusTag_BN877_I0031	276
BN877_I0032_locusTag_BN877_I0032	402
BN877_I0033_locusTag_BN877_I0033	465
chvG_locusTag_BN877_I0034	1791
chvI_locusTag_BN877_I0035	747
pckA_locusTag_BN877_I0036	1611
BN877_I0037_locusTag_BN877_I0037	435
BN877_I0038_locusTag_BN877_I0038	450
coaA_locusTag_BN877_I0039	1002
hisE_locusTag_BN877_I0040	324
hisF_locusTag_BN877_I0041	777
hisA_locusTag_BN877_I0042	744
hisH_locusTag_BN877_I0043	651
BN877_I0044_locusTag_BN877_I0044	495
hisB_locusTag_BN877_I0045	597
hisB_locusTag_BN877_I0046	720
hslV_locusTag_BN877_I0047	525
hslU_locusTag_BN877_I0048	1308
BN877_I0049_locusTag_BN877_I0049	966
glcB_locusTag_BN877_I0050	2169
BN877_I0051_locusTag_BN877_I0051	714
BN877_I0052_locusTag_BN877_I0052	486
regR_locusTag_BN877_I0053	588
regS_locusTag_BN877_I0054	1335
hrpB_locusTag_BN877_I0055	2487
BN877_I_16s_rRNA_1_locusTag_BN877_I_16s_rRNA_1	1473
BN877_ItRNA1_locusTag_BN877_ItRNA1	77
BN877_ItRNA2_locusTag_BN877_ItRNA2	76
BN877_I_23s_rRNA_1_locusTag_BN877_I_23s_rRNA_1	2797
BN877_I_5s_rRNA_1_locusTag_BN877_I_5s_rRNA_1	114
BN877_ItRNA3_locusTag_BN877_ItRNA3	77
recQ_locusTag_BN877_I0059	1854
BN877_I0060_locusTag_BN877_I0060	1233
BN877_I0061_locusTag_BN877_I0061	1023
BN877_I0062_locusTag_BN877_I0062	1083
BN877_I0063_locusTag_BN877_I0063	783
BN877_I0064_locusTag_BN877_I0064	630
BN877_Imisc_RNA_12_locusTag_BN877_Imisc_RNA_12	225
nrdH_locusTag_BN877_I0065	222
nrdI_locusTag_BN877_I0066	399
nrdE_locusTag_BN877_I0067	2187
nrdF_locusTag_BN877_I0068	975
BN877_I0069_locusTag_BN877_I0069	1113
recF_locusTag_BN877_I0070	1128
BN877_I0071_locusTag_BN877_I0071	771
BN877_I0072_locusTag_BN877_I0072	477
BN877_I0073_locusTag_BN877_I0073	1005
BN877_I0074_locusTag_BN877_I0074	540
BN877_I0075_locusTag_BN877_I0075	993
BN877_I0076_locusTag_BN877_I0076	945
BN877_I0077_locusTag_BN877_I0077	1017
pnp_locusTag_BN877_I0078	2148
rpsO_locusTag_BN877_I0079	270
truB_locusTag_BN877_I0080	948
rbfA_locusTag_BN877_I0081	417
infB_locusTag_BN877_I0082	2736
infB_locusTag_BN877_I0083	171
BN877_I0084_locusTag_BN877_I0084	702
nusA_locusTag_BN877_I0085	1617
rimP_locusTag_BN877_I0086	597
BN877_I0087_locusTag_BN877_I0087	1629
BN877_I0088_locusTag_BN877_I0088	1266
recR_locusTag_BN877_I0089	606
BN877_I0090_locusTag_BN877_I0090	636
BN877_I0091_locusTag_BN877_I0091	324
BN877_I0092_locusTag_BN877_I0092	1875
BN877_Imisc_RNA_25_locusTag_BN877_Imisc_RNA_25	98
BN877_I0093_locusTag_BN877_I0093	405
BN877_I0094_locusTag_BN877_I0094	963
pheA_locusTag_BN877_I0095	864
kdsB_locusTag_BN877_I0096	756
BN877_I0097_locusTag_BN877_I0097	576
pss_locusTag_BN877_I0098	729
BN877_I0099_locusTag_BN877_I0099	2313
BN877_I0100_locusTag_BN877_I0100	459
BN877_I0101_locusTag_BN877_I0101	270
cspA1_locusTag_BN877_I0102	210
BN877_I0103_locusTag_BN877_I0103	1392
BN877_I0104_locusTag_BN877_I0104	435
BN877_I0105_locusTag_BN877_I0105	369
BN877_I0106_locusTag_BN877_I0106	405
polA_locusTag_BN877_I0108	3006
BN877_I0109_locusTag_BN877_I0109	720
rpmF_locusTag_BN877_I0110	186
dctB1_locusTag_BN877_I0111	1803
dctD1_locusTag_BN877_I0112	1347
BN877_I0113_locusTag_BN877_I0113	984
BN877_I0114_locusTag_BN877_I0114	462
BN877_I0115_locusTag_BN877_I0115	1506
slyX_locusTag_BN877_I0116	213
BN877_I0117_locusTag_BN877_I0117	552
dnaJ_locusTag_BN877_I0118	1137
dnaK_locusTag_BN877_I0119	1902
dnaK_locusTag_BN877_I0120	210
BN877_ItRNA41_locusTag_BN877_ItRNA41	90
BN877_I0121_locusTag_BN877_I0121	318
BN877_I0122_locusTag_BN877_I0122	213
msrA_locusTag_BN877_I0123	651
BN877_I0124_locusTag_BN877_I0124	993
yufO_locusTag_BN877_I0125	1512
BN877_I0126_locusTag_BN877_I0126	1104
BN877_I0127_locusTag_BN877_I0127	972
cdd_locusTag_BN877_I0128	417
punA_locusTag_BN877_I0129	801
deoC_locusTag_BN877_I0130	774
deoA_locusTag_BN877_I0131	1317
deoA_locusTag_BN877_I0132	522
upp_locusTag_BN877_I0133	630
BN877_I0134_locusTag_BN877_I0134	978
deoB_locusTag_BN877_I0135	1221
BN877_I0136_locusTag_BN877_I0136	762
cyoD_locusTag_BN877_I0137	396
cyoC_locusTag_BN877_I0138	627
cyoB_locusTag_BN877_I0139	2004
cyoA_locusTag_BN877_I0140	1080
BN877_I0141_locusTag_BN877_I0141	1329
BN877_I0142_locusTag_BN877_I0142	222
BN877_I0143_locusTag_BN877_I0143	5505
cysJ_locusTag_BN877_I0144	1770
BN877_I0145_locusTag_BN877_I0145	591
BN877_I0146_locusTag_BN877_I0146	597
fabI1_locusTag_BN877_I0147	807
fabB_locusTag_BN877_I0148	1224
fabA_locusTag_BN877_I0149	516
BN877_I0150_locusTag_BN877_I0150	207
irr_locusTag_BN877_I0151	420
BN877_I0152_locusTag_BN877_I0152	639
BN877_I0153_locusTag_BN877_I0153	519
BN877_I0154_locusTag_BN877_I0154	711
BN877_I0155_locusTag_BN877_I0155	942
BN877_I0156_locusTag_BN877_I0156	774
BN877_I0157_locusTag_BN877_I0157	786
BN877_I0158_locusTag_BN877_I0158	738
exbB_locusTag_BN877_I0159	1158
exbD_locusTag_BN877_I0160	486
exbD_locusTag_BN877_I0161	930
comC_locusTag_BN877_I0162	990
BN877_I0163_locusTag_BN877_I0163	246
BN877_I0164_locusTag_BN877_I0164	1041
phnN_locusTag_BN877_I0165	597
phnM_locusTag_BN877_I0166	1137
phnM_locusTag_BN877_I0167	699
BN877_I0168_locusTag_BN877_I0168	1350
BN877_I0169_locusTag_BN877_I0169	987
BN877_I0170_locusTag_BN877_I0170	906
phnC_locusTag_BN877_I0171	861
BN877_I0172_locusTag_BN877_I0172	618
phnL_locusTag_BN877_I0173	708
BN877_I0174_locusTag_BN877_I0174	777
BN877_I0175_locusTag_BN877_I0175	903
BN877_I0176_locusTag_BN877_I0176	1110
BN877_I0177_locusTag_BN877_I0177	609
phnG_locusTag_BN877_I0178	462
BN877_I0179_locusTag_BN877_I0179	720
dapB_locusTag_BN877_I0180	828
glk_locusTag_BN877_I0181	1035
mgsA_locusTag_BN877_I0182	384
BN877_I0183_locusTag_BN877_I0183	1020
BN877_I0184_locusTag_BN877_I0184	1845
BN877_I0185_locusTag_BN877_I0185	1095
BN877_I0186_locusTag_BN877_I0186	1188
