gene_name	length
nifA 	1573
nifB 	1407
nifD	1452
nifE 	1506
nifF 	531
nifH 	882
nifJ 	3516
nifK 	1563
nifL 	1488
nifM 	801
nifN 	1386
nifQ 	504
nifS 	1203
nifT 	219
nifU 	825
nifV 	1143
nifW 	261
nifX 	471
nifY	663
nifZ	447
dnaA_locusTag_PFL_0001	1542
dnaN_locusTag_PFL_0002	1104
recF_locusTag_PFL_0003	1104
gyrB_locusTag_PFL_0004	2418
None_locusTag_PFL_0005	525
None_locusTag_PFL_0006	486
None_locusTag_PFL_0007	336
None_locusTag_PFL_0008	729
None_locusTag_PFL_0009	999
None_locusTag_PFL_0010	2319
None_locusTag_PFL_0011	771
gmhB_locusTag_PFL_0012	534
glyS_locusTag_PFL_0013	2055
glyQ_locusTag_PFL_0014	954
tag_2_locusTag_PFL_0015	564
None_locusTag_PFL_0016	888
None_locusTag_PFL_0017	240
None_locusTag_PFL_0018	318
trkA_locusTag_PFL_0019	1374
rsmB_locusTag_PFL_0020	1326
fmt_locusTag_PFL_0021	960
def_2_locusTag_PFL_0022	507
None_locusTag_PFL_0023	1011
dprA_locusTag_PFL_0024	1107
None_locusTag_PFL_0025	558
qor_2_locusTag_PFL_0026	978
hemF_locusTag_PFL_0027	918
aroE_locusTag_PFL_0028	822
None_locusTag_PFL_0029	1569
None_locusTag_PFL_0030	918
betC_locusTag_PFL_0031	1515
None_locusTag_PFL_0032	951
None_locusTag_PFL_0033	645
None_locusTag_PFL_0034	327
None_locusTag_PFL_0035	444
trpA_locusTag_PFL_0036	813
trpB_locusTag_PFL_0037	1221
trpI_locusTag_PFL_0038	894
None_locusTag_PFL_0039	327
None_locusTag_PFL_0040	216
None_locusTag_PFL_0041	225
None_locusTag_PFL_0042	1002
osmC_locusTag_PFL_0043	432
None_locusTag_PFL_0044	234
None_locusTag_PFL_0045	420
None_locusTag_PFL_0046	414
None_locusTag_PFL_0047	1110
None_locusTag_PFL_0048	651
None_locusTag_PFL_0049	546
prlC_locusTag_PFL_0050	2052
None_locusTag_PFL_0051	279
None_locusTag_PFL_0052	660
None_locusTag_PFL_0053	756
None_locusTag_PFL_0054	1785
None_locusTag_PFL_0055	1305
None_locusTag_PFL_0057	1059
cah_locusTag_PFL_0058	735
None_locusTag_PFL_0059	1536
None_locusTag_PFL_0060	537
ctaC_locusTag_PFL_0061	1128
ctaD_locusTag_PFL_0062	1596
ctaG_locusTag_PFL_0063	558
ctaE_locusTag_PFL_0064	888
None_locusTag_PFL_0065	204
None_locusTag_PFL_0066	741
None_locusTag_PFL_0067	501
None_locusTag_PFL_0068	1080
cyoE_2_locusTag_PFL_0069	903
None_locusTag_PFL_0070	636
metQ2_locusTag_PFL_0071	774
metI2_locusTag_PFL_0072	666
metN2_locusTag_PFL_0073	1008
katE_locusTag_PFL_0074	2139
None_locusTag_PFL_0075	720
znuB_locusTag_PFL_0076	789
znuC_locusTag_PFL_0077	786
np20_locusTag_PFL_0078	483
znuA_locusTag_PFL_0079	930
thrB_locusTag_PFL_0080	951
None_locusTag_PFL_0081	288
polA_locusTag_PFL_0082	2790
ysxC_locusTag_PFL_0083	642
None_locusTag_PFL_0084	606
dsbA_locusTag_PFL_0085	630
None_locusTag_PFL_0086	879
None_locusTag_PFL_0087	2184
amiD_locusTag_PFL_0088	780
None_locusTag_PFL_0089	1620
kinB_locusTag_PFL_0090	1785
algB_locusTag_PFL_0091	1347
None_locusTag_PFL_0092	285
None_locusTag_PFL_0093	165
None_locusTag_PFL_0094	468
gltP_locusTag_PFL_0095	1332
None_locusTag_PFL_0096	1230
None_locusTag_PFL_0097	630
None_locusTag_PFL_0098	939
None_locusTag_PFL_0099	804
None_locusTag_PFL_0100	1149
None_locusTag_PFL_0101	1056
None_locusTag_PFL_0102	1383
None_locusTag_PFL_0103	1659
None_locusTag_PFL_0104	768
citN_locusTag_PFL_0105	1308
None_locusTag_PFL_0106	402
None_locusTag_PFL_0107	1962
None_locusTag_PFL_0108	321
None_locusTag_PFL_0109	309
None_locusTag_PFL_0110	318
None_locusTag_PFL_0111	216
None_locusTag_PFL_0112	1494
pntB_locusTag_PFL_0113	1437
pntAB_locusTag_PFL_0114	324
pntAA_locusTag_PFL_0115	1122
gcdR_locusTag_PFL_0116	900
gcdH_locusTag_PFL_0117	1182
None_locusTag_PFL_0118	1221
rrsA_locusTag_PFL_0119	1518
None_locusTag_PFL_0120	77
None_locusTag_PFL_0121	76
rrlA_locusTag_PFL_0122	2901
rrf_locusTag_PFL_6292	116
rrfA_locusTag_PFL_0123	119
None_locusTag_PFL_0124	1182
foxA_locusTag_PFL_0125	2493
None_locusTag_PFL_0126	1005
None_locusTag_PFL_0127	501
pctA_2_locusTag_PFL_0128	1881
None_locusTag_PFL_0129	765
None_locusTag_PFL_0130	693
lapD_locusTag_PFL_0131	1947
None_locusTag_PFL_0132	339
lapA_locusTag_PFL_0133	14763
None_locusTag_PFL_0134	1353
None_locusTag_PFL_0135	2154
None_locusTag_PFL_0136	1368
None_locusTag_PFL_0137	888
None_locusTag_PFL_0138	1038
None_locusTag_PFL_0139	861
None_locusTag_PFL_0140	867
None_locusTag_PFL_0141	927
None_locusTag_PFL_0142	1545
None_locusTag_PFL_0143	1071
None_locusTag_PFL_0144	1482
None_locusTag_PFL_0145	510
None_locusTag_PFL_0146	954
None_locusTag_PFL_0147	2466
None_locusTag_PFL_0148	747
None_locusTag_PFL_0149	2193
None_locusTag_PFL_0150	1611
None_locusTag_PFL_0151	462
None_locusTag_PFL_0152	246
None_locusTag_PFL_0153	246
None_locusTag_PFL_6236	282
None_locusTag_PFL_0154	429
None_locusTag_PFL_0155	2088
None_locusTag_PFL_0156	210
None_locusTag_PFL_0157	891
None_locusTag_PFL_0158	1449
None_locusTag_PFL_0159	819
None_locusTag_PFL_0160	1503
pgaA_locusTag_PFL_0161	2487
pgaB_locusTag_PFL_0162	1998
pgaC_locusTag_PFL_0163	1350
pgaD_locusTag_PFL_0164	525
None_locusTag_PFL_0165	318
None_locusTag_PFL_0166	9135
None_locusTag_PFL_0167	363
None_locusTag_PFL_0168	267
None_locusTag_PFL_0169	279
None_locusTag_PFL_0170	249
None_locusTag_PFL_0171	561
None_locusTag_PFL_0172	1749
None_locusTag_PFL_0173	582
None_locusTag_PFL_0174	684
None_locusTag_PFL_0175	186
None_locusTag_PFL_0176	465
