gene_name	length
thrL_locusTag_b0001	66
thrA_locusTag_b0002	2463
thrB_locusTag_b0003	933
thrC_locusTag_b0004	1287
yaaX_locusTag_b0005	297
yaaA_locusTag_b0006	777
yaaJ_locusTag_b0007	1431
talB_locusTag_b0008	954
mog_locusTag_b0009	588
satP_locusTag_b0010	567
yaaW_locusTag_b0011	714
yaaI_locusTag_b0013	405
dnaK_locusTag_b0014	1917
dnaJ_locusTag_b0015	1131
insL1_locusTag_b0016	1113
mokC_locusTag_b0018	210
hokC_locusTag_b4412	153
sokC_locusTag_b4413	55
nhaA_locusTag_b0019	1167
nhaR_locusTag_b0020	906
insB1_locusTag_b0021	504
insA_locusTag_b0022	276
rpsT_locusTag_b0023	264
yaaY_locusTag_b0024	219
ribF_locusTag_b0025	942
ileS_locusTag_b0026	2817
lspA_locusTag_b0027	495
fkpB_locusTag_b0028	450
ispH_locusTag_b0029	951
rihC_locusTag_b0030	915
dapB_locusTag_b0031	822
carA_locusTag_b0032	1149
carB_locusTag_b0033	3222
caiF_locusTag_b0034	396
caiE_locusTag_b0035	591
caiD_locusTag_b0036	786
caiC_locusTag_b0037	1554
caiB_locusTag_b0038	1218
caiA_locusTag_b0039	1143
caiT_locusTag_b0040	1515
fixA_locusTag_b0041	771
fixB_locusTag_b0042	942
fixC_locusTag_b0043	1287
fixX_locusTag_b0044	288
yaaU_locusTag_b0045	1332
kefF_locusTag_b0046	531
kefC_locusTag_b0047	1863
folA_locusTag_b0048	480
apaH_locusTag_b0049	843
apaG_locusTag_b0050	378
rsmA_locusTag_b0051	822
pdxA_locusTag_b0052	990
surA_locusTag_b0053	1287
lptD_locusTag_b0054	2355
djlA_locusTag_b0055	816
yabP_locusTag_b4659	806
rluA_locusTag_b0058	660
rapA_locusTag_b0059	2907
polB_locusTag_b0060	2352
araD_locusTag_b0061	696
araA_locusTag_b0062	1503
araB_locusTag_b0063	1701
araC_locusTag_b0064	879
yabI_locusTag_b0065	765
thiQ_locusTag_b0066	699
thiP_locusTag_b0067	1611
thiB_locusTag_b0068	984
sgrR_locusTag_b0069	1656
sgrS_locusTag_b4577	227
sgrT_locusTag_b4662	132
setA_locusTag_b0070	1179
leuD_locusTag_b0071	606
leuC_locusTag_b0072	1401
leuB_locusTag_b0073	1092
leuA_locusTag_b0074	1572
leuL_locusTag_b0075	87
leuO_locusTag_b0076	945
ilvI_locusTag_b0077	1725
ilvH_locusTag_b0078	492
cra_locusTag_b0080	1005
mraZ_locusTag_b0081	459
rsmH_locusTag_b0082	942
ftsL_locusTag_b0083	366
ftsI_locusTag_b0084	1767
murE_locusTag_b0085	1488
murF_locusTag_b0086	1359
mraY_locusTag_b0087	1083
murD_locusTag_b0088	1317
ftsW_locusTag_b0089	1245
murG_locusTag_b0090	1068
murC_locusTag_b0091	1476
ddlB_locusTag_b0092	921
ftsQ_locusTag_b0093	831
ftsA_locusTag_b0094	1263
ftsZ_locusTag_b0095	1152
lpxC_locusTag_b0096	918
secM_locusTag_b0097	513
secA_locusTag_b0098	2706
mutT_locusTag_b0099	390
yacG_locusTag_b0101	198
zapD_locusTag_b0102	744
coaE_locusTag_b0103	621
guaC_locusTag_b0104	1044
hofC_locusTag_b0106	1203
hofB_locusTag_b0107	1386
ppdD_locusTag_b0108	441
nadC_locusTag_b0109	894
ampD_locusTag_b0110	552
ampE_locusTag_b0111	855
aroP_locusTag_b0112	1374
pdhR_locusTag_b0113	765
aceE_locusTag_b0114	2664
aceF_locusTag_b0115	1893
lpd_locusTag_b0116	1425
yacH_locusTag_b0117	1854
acnB_locusTag_b0118	2598
yacL_locusTag_b0119	363
speD_locusTag_b0120	795
speE_locusTag_b0121	867
yacC_locusTag_b0122	348
cueO_locusTag_b0123	1551
gcd_locusTag_b0124	2391
hpt_locusTag_b0125	537
can_locusTag_b0126	663
yadG_locusTag_b0127	927
yadH_locusTag_b0128	771
yadI_locusTag_b0129	441
yadE_locusTag_b0130	1230
panD_locusTag_b0131	381
yadD_locusTag_b0132	903
panC_locusTag_b0133	852
panB_locusTag_b0134	795
yadC_locusTag_b0135	1239
yadK_locusTag_b0136	597
yadL_locusTag_b0137	606
yadM_locusTag_b0138	570
htrE_locusTag_b0139	2598
yadV_locusTag_b0140	741
yadN_locusTag_b0141	585
folK_locusTag_b0142	480
pcnB_locusTag_b0143	1398
gluQ_locusTag_b0144	927
dksA_locusTag_b0145	456
sfsA_locusTag_b0146	705
ligT_locusTag_b0147	531
hrpB_locusTag_b0148	2430
mrcB_locusTag_b0149	2535
fhuA_locusTag_b0150	2244
fhuC_locusTag_b0151	798
fhuD_locusTag_b0152	891
fhuB_locusTag_b0153	1983
hemL_locusTag_b0154	1281
clcA_locusTag_b0155	1422
erpA_locusTag_b0156	345
yadS_locusTag_b0157	624
btuF_locusTag_b0158	801
mtn_locusTag_b0159	699
dgt_locusTag_b0160	1518
degP_locusTag_b0161	1425
cdaR_locusTag_b0162	1158
yaeH_locusTag_b0163	387
yaeI_locusTag_b0164	813
dapD_locusTag_b0166	825
glnD_locusTag_b0167	2673
map_locusTag_b0168	795
tff_locusTag_b4414	136
rpsB_locusTag_b0169	726
tsf_locusTag_b0170	852
pyrH_locusTag_b0171	726
frr_locusTag_b0172	558
dxr_locusTag_b0173	1197
ispU_locusTag_b0174	762
cdsA_locusTag_b0175	858
rseP_locusTag_b0176	1353
bamA_locusTag_b0177	2433
skp_locusTag_b0178	486
lpxD_locusTag_b0179	1026
fabZ_locusTag_b0180	456
lpxA_locusTag_b0181	789
lpxB_locusTag_b0182	1149
rnhB_locusTag_b0183	597
