AMPJ01000001.1	gi|410375149|gb|AMPJ01000001.1|
AMPJ01000002.1	gi|410375140|gb|AMPJ01000002.1|
AMPJ01000003.1	gi|410375137|gb|AMPJ01000003.1|
AMPJ01000004.1	gi|410375127|gb|AMPJ01000004.1|
AMPJ01000005.1	gi|410375122|gb|AMPJ01000005.1|
AMPJ01000006.1	gi|410375116|gb|AMPJ01000006.1|
AMPJ01000007.1	gi|410375110|gb|AMPJ01000007.1|
AMPJ01000008.1	gi|410375101|gb|AMPJ01000008.1|
AMPJ01000009.1	gi|410375086|gb|AMPJ01000009.1|
AMPJ01000010.1	gi|410375075|gb|AMPJ01000010.1|
AMPJ01000011.1	gi|410375059|gb|AMPJ01000011.1|
AMPJ01000012.1	gi|410375028|gb|AMPJ01000012.1|
AMPJ01000013.1	gi|410375022|gb|AMPJ01000013.1|
AMPJ01000014.1	gi|410374994|gb|AMPJ01000014.1|
AMPJ01000015.1	gi|410374969|gb|AMPJ01000015.1|
AMPJ01000016.1	gi|410374960|gb|AMPJ01000016.1|
AMPJ01000017.1	gi|410374954|gb|AMPJ01000017.1|
AMPJ01000018.1	gi|410374949|gb|AMPJ01000018.1|
AMPJ01000019.1	gi|410374922|gb|AMPJ01000019.1|
AMPJ01000020.1	gi|410374868|gb|AMPJ01000020.1|
AMPJ01000021.1	gi|410374854|gb|AMPJ01000021.1|
AMPJ01000022.1	gi|410374832|gb|AMPJ01000022.1|
AMPJ01000023.1	gi|410374817|gb|AMPJ01000023.1|
AMPJ01000024.1	gi|410374811|gb|AMPJ01000024.1|
AMPJ01000025.1	gi|410374796|gb|AMPJ01000025.1|
AMPJ01000026.1	gi|410374781|gb|AMPJ01000026.1|
AMPJ01000027.1	gi|410374764|gb|AMPJ01000027.1|
AMPJ01000028.1	gi|410374747|gb|AMPJ01000028.1|
AMPJ01000029.1	gi|410374733|gb|AMPJ01000029.1|
AMPJ01000030.1	gi|410374699|gb|AMPJ01000030.1|
AMPJ01000031.1	gi|410374691|gb|AMPJ01000031.1|
AMPJ01000032.1	gi|410374683|gb|AMPJ01000032.1|
AMPJ01000033.1	gi|410374665|gb|AMPJ01000033.1|
AMPJ01000034.1	gi|410374643|gb|AMPJ01000034.1|
AMPJ01000035.1	gi|410374631|gb|AMPJ01000035.1|
AMPJ01000036.1	gi|410374575|gb|AMPJ01000036.1|
AMPJ01000037.1	gi|410374547|gb|AMPJ01000037.1|
AMPJ01000038.1	gi|410374510|gb|AMPJ01000038.1|
AMPJ01000039.1	gi|410374473|gb|AMPJ01000039.1|
AMPJ01000040.1	gi|410374408|gb|AMPJ01000040.1|
AMPJ01000041.1	gi|410374368|gb|AMPJ01000041.1|
AMPJ01000042.1	gi|410374333|gb|AMPJ01000042.1|
AMPJ01000043.1	gi|410374308|gb|AMPJ01000043.1|
AMPJ01000044.1	gi|410374271|gb|AMPJ01000044.1|
AMPJ01000045.1	gi|410374231|gb|AMPJ01000045.1|
AMPJ01000046.1	gi|410374165|gb|AMPJ01000046.1|
AMPJ01000047.1	gi|410374124|gb|AMPJ01000047.1|
AMPJ01000048.1	gi|410374081|gb|AMPJ01000048.1|
AMPJ01000049.1	gi|410374022|gb|AMPJ01000049.1|
AMPJ01000050.1	gi|410373972|gb|AMPJ01000050.1|
AMPJ01000051.1	gi|410373950|gb|AMPJ01000051.1|
AMPJ01000052.1	gi|410373918|gb|AMPJ01000052.1|
AMPJ01000053.1	gi|410373891|gb|AMPJ01000053.1|
AMPJ01000054.1	gi|410373857|gb|AMPJ01000054.1|
AMPJ01000055.1	gi|410373839|gb|AMPJ01000055.1|
AMPJ01000056.1	gi|410373794|gb|AMPJ01000056.1|
AMPJ01000057.1	gi|410373762|gb|AMPJ01000057.1|
AMPJ01000058.1	gi|410373731|gb|AMPJ01000058.1|
AMPJ01000059.1	gi|410373700|gb|AMPJ01000059.1|
AMPJ01000060.1	gi|410373667|gb|AMPJ01000060.1|
AMPJ01000061.1	gi|410373603|gb|AMPJ01000061.1|
AMPJ01000062.1	gi|410373531|gb|AMPJ01000062.1|
AMPJ01000063.1	gi|410373470|gb|AMPJ01000063.1|
AMPJ01000064.1	gi|410373416|gb|AMPJ01000064.1|
AMPJ01000065.1	gi|410373374|gb|AMPJ01000065.1|
AMPJ01000066.1	gi|410373338|gb|AMPJ01000066.1|
AMPJ01000067.1	gi|410373286|gb|AMPJ01000067.1|
AMPJ01000068.1	gi|410373250|gb|AMPJ01000068.1|
AMPJ01000069.1	gi|410373167|gb|AMPJ01000069.1|
AMPJ01000070.1	gi|410373118|gb|AMPJ01000070.1|
AMPJ01000071.1	gi|410373056|gb|AMPJ01000071.1|
AMPJ01000072.1	gi|410373019|gb|AMPJ01000072.1|
AMPJ01000073.1	gi|410372944|gb|AMPJ01000073.1|
AMPJ01000074.1	gi|410372855|gb|AMPJ01000074.1|
AMPJ01000075.1	gi|410372731|gb|AMPJ01000075.1|
AMPJ01000076.1	gi|410372673|gb|AMPJ01000076.1|
AMPJ01000077.1	gi|410372582|gb|AMPJ01000077.1|
AMPJ01000078.1	gi|410372522|gb|AMPJ01000078.1|
AMPJ01000079.1	gi|410372412|gb|AMPJ01000079.1|
