gene	syn	description	protein	fun_desc	essential
aaeA	yhcQ	AaeAB p-hydroxybenzoic acid efflux pump MFP component; membrane fusion protein	p-hydroxybenzoic acid efflux system component	Null	N
aaeB	yhcP	AaeAB p-hydroxybenzoic acid efflux pump PET component; efflux protein family	p-hydroxybenzoic acid efflux system component	Null	N
aaeR	"qseA, yhcS"	Transcriptional activator for the aaeXAB operon	transcriptional regulator for aaeXAB operon	Null	N
aaeX	yhcR	"Function unknown, putative membrane protein; in aaeXAB efflux pump operon"	membrane protein of efflux system	Null	N
aas	None	Acyl-ACP synthase; 2-acylglycerophosphoethanolamine acyltransferase; salvage pathway for reacylation; inner membrane; bifunctional for turnover/incorporation	fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
aat	ycaA	"Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease"	leucyl/phenylalanyl-tRNA-protein transferase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	N
abgA	ydaJ	"p-Aminobenzoyl-glutamate hydrolase, A subunit; PGH; manganese-dependent; required for p-aminobenzoyl-glutamate utilization"	"p-aminobenzoyl-glutamate hydrolase, A subunit"	Enzyme	N
abgB	ydaI	"p-Aminobenzoyl-glutamate hydrolase, B subunit; PGH; manganese-dependent; required for p-aminobenzoyl-glutamate utilization"	"p-aminobenzoyl-glutamate hydrolase, B subunit"	Enzyme	N
abgR	ydaK	Predicted regulator of the abgABT operon	predicted DNA-binding transcriptional regulator of abgABT operon	Putative regulator; Not classified	N
abgT	ydaH	p-Aminobenzoyl-glutamate transporter; membrane protein	p-aminobenzoyl-glutamate transporter; membrane protein	Putative transport; Not classified	N
abrB	ybgN	Regulator of aidB expression; inner membrane protein	regulator of aidB expression; inner membrane protein	Putative transport; Not classified	N
accA	None	"Acetyl-CoA carboxylase, carboxyltransferase alpha subunit"	"acetyl-CoA carboxylase, carboxytransferase, alpha subunit"	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
accB	fabE	"Acetyl-CoA carboxylase, biotin carboxyl carrier protein; BCCP; homodimeric"	"acetyl CoA carboxylase, BCCP subunit"	"Carrier; Biosynthesis of cofactors, carriers: biotin carboxyl carrier protein (BCCP)"	N
accC	fabG	"Acetyl-CoA carboxylase, biotin carboxylase (BC) subunit"	"acetyl-CoA carboxylase, biotin carboxylase subunit"	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
accD	"dedB, usg"	"Acetyl-CoA carboxylase, carboxyltransferase beta subunit"	"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit"	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
aceA	icl	"Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric"	isocitrate lyase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	N
aceB	mas	Malate synthase A; glyoxylate shunt enzyme	malate synthase A	Enzyme; Central intermediary metabolism: Glyoxylate bypass	N
aceE	None	"Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement"	"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding"	"Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase"	N
aceF	None	"Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement"	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"	"Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase"	N
aceK	None	Isocitrate dehydrogenase kinase/phosphatase	isocitrate dehydrogenase kinase/phosphatase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	N
ackA	None	"Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)"	acetate kinase A and propionate kinase 2	"Enzyme; Energy metabolism, carbon: Electron transport"	N
acnA	acn	"Aconitase A, stationary phase induced; iron-sulfur cluster; apo-enzyme binds mRNA for negative translational autoregulation; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur"	aconitate hydratase 1	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
